Iso3,Location Name,AMRO subregions,Causename Eng,Year,Sex,Age group,Measure Name En,Metric Name En,Value,Value Low,Value Up
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Years Lived with Disability (YLDs),Rate,485.9,312.43,705
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Years of Life Lost (YLLs),Rate,471.89,356.6,617.06
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Deaths,Rate,21.14,16.03,27.56
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"1,000.05",696.51,"1,389.46"
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Years Lived with Disability (YLDs),Rate,502.24,322.69,732.65
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Years of Life Lost (YLLs),Rate,497.8,373.82,656.81
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Deaths,Rate,18.62,14.08,24.34
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Disability-Adjusted Life Years (DALYs),Rate,934.63,649.64,"1,300.93"
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Years Lived with Disability (YLDs),Rate,473.96,304.19,692.13
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Years of Life Lost (YLLs),Rate,460.67,345.45,608.8
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Deaths,Rate,20.41,15.57,26.22
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,947.38,664.22,"1,298.66"
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Years Lived with Disability (YLDs),Rate,483.57,311.25,697.83
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Years of Life Lost (YLLs),Rate,463.82,352.97,600.82
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Deaths,Rate,21.78,16.62,27.96
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Disability-Adjusted Life Years (DALYs),Rate,980.63,688.11,"1,343.05"
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Years Lived with Disability (YLDs),Rate,497.86,320.66,718.03
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Years of Life Lost (YLLs),Rate,482.77,367.45,625.03
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Deaths,Rate,54.39,49,60.29
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"2,221.56","1,820.73","2,701.84"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Years Lived with Disability (YLDs),Rate,799.18,534.59,"1,121.60"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Years of Life Lost (YLLs),Rate,"1,422.38","1,286.13","1,580.24"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Deaths,Rate,49.01,44.14,54.34
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Disability-Adjusted Life Years (DALYs),Rate,"2,036.59","1,666.79","2,480.54"
