Location Code,Location Name En,Indicator Name En,Age Group En,Sex En,Year,Value,Value Low,Value High
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2000,46.25%,43.50%,49.10%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2005,48.61%,46.30%,50.80%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2010,51.23%,49.30%,53.10%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2015,54.77%,52.60%,56.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2019,57.57%,54.40%,60.70%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2020,58.18%,54.60%,61.70%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2021,58.76%,54.80%,62.70%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2022,59.30%,54.90%,63.70%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,1990,45.33%,39.10%,51.60%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,1995,47.35%,42.30%,52.60%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2000,49.13%,45.10%,53.40%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2005,51.10%,47.80%,54.40%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2010,53.14%,50.40%,55.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2015,55.88%,52.80%,58.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2019,58.13%,53.60%,62.50%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2020,58.62%,53.50%,63.50%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2021,59.08%,53.40%,64.50%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2022,59.51%,53.10%,65.60%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,1990,38.93%,33.20%,45.20%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,1995,40.98%,36.10%,46.00%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2000,43.20%,39.40%,47.10%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2005,46.02%,42.90%,49.10%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2010,49.25%,46.60%,51.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2015,53.60%,50.60%,56.60%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2019,56.97%,52.30%,61.40%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2020,57.71%,52.40%,62.70%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2021,58.41%,52.30%,63.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2022,59.07%,52.30%,65.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,1990,7.06%,6.10%,8.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,1995,7.83%,7.00%,8.70%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,2000,8.51%,7.80%,9.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,2005,9.41%,8.80%,10.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,2010,10.57%,10.00%,11.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,2015,11.53%,10.90%,12.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,2019,12.32%,11.20%,13.50%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,2020,12.55%,11.30%,13.90%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,2021,12.80%,11.30%,14.50%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,2022,13.06%,11.30%,15.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Female,1990,7.10%,5.70%,8.70%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Female,1995,7.77%,6.60%,9.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Female,2000,8.29%,7.30%,9.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Female,2005,9.11%,8.30%,9.90%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Female,2010,10.27%,9.50%,11.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Female,2015,11.27%,10.40%,12.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Female,2019,12.09%,10.60%,13.70%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Female,2020,12.33%,10.60%,14.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Female,2021,12.59%,10.60%,15.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Female,2022,12.86%,10.50%,15.70%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Male,1990,7.00%,5.70%,8.40%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Male,1995,7.90%,6.80%,9.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Male,2000,8.73%,7.70%,9.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Male,2005,9.74%,8.90%,10.60%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Male,2010,10.90%,10.10%,11.70%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Male,2015,11.82%,10.90%,12.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Male,2019,12.56%,11.10%,14.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Male,2020,12.78%,11.00%,14.70%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Male,2021,13.01%,10.90%,15.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Male,2022,13.27%,10.80%,16.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Both sexes,1990,6.52%,5.60%,7.50%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Both sexes,1995,7.37%,6.60%,8.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Both sexes,2000,8.19%,7.50%,8.90%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Both sexes,2005,9.37%,8.80%,9.90%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Both sexes,2010,10.89%,10.30%,11.50%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Both sexes,2015,12.31%,11.60%,13.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Both sexes,2019,13.52%,12.30%,14.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Both sexes,2020,13.86%,12.50%,15.40%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Both sexes,2021,14.22%,12.60%,16.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Both sexes,2022,14.59%,12.70%,16.70%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Female,1990,6.86%,5.50%,8.40%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Female,1995,7.61%,6.50%,8.90%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Female,2000,8.26%,7.30%,9.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Female,2005,9.33%,8.50%,10.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Female,2010,10.85%,10.10%,11.70%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Female,2015,12.32%,11.40%,13.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Female,2019,13.60%,12.00%,15.40%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Female,2020,13.96%,12.10%,16.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Female,2021,14.34%,12.10%,17.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Female,2022,14.75%,12.10%,17.90%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Male,1990,6.16%,5.00%,7.40%
