Location Code,Location Name En,Indicator Name En,Age Group En,Sex En,Year,Value,Value Low,Value High
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Female,2005,11.89%,10.90%,12.90%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Female,2010,13.37%,12.50%,14.40%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Female,2015,14.66%,13.60%,15.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Female,2019,15.72%,13.90%,17.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Female,2020,16.03%,13.80%,18.60%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Female,2021,16.35%,13.80%,19.40%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Female,2022,16.69%,13.70%,20.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Male,1990,9.31%,7.70%,11.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Male,1995,10.45%,9.00%,12.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Male,2000,11.50%,10.20%,12.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Male,2005,12.77%,11.70%,13.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Male,2010,14.20%,13.20%,15.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Male,2015,15.30%,14.10%,16.50%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Male,2019,16.16%,14.30%,18.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Male,2020,16.40%,14.20%,18.90%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Male,2021,16.67%,14.00%,19.50%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Male,2022,16.94%,13.80%,20.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Both sexes,1990,9.00%,7.80%,10.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Both sexes,1995,9.91%,8.90%,11.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Both sexes,2000,10.87%,10.00%,11.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Both sexes,2005,12.30%,11.60%,13.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Both sexes,2010,14.13%,13.40%,14.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Both sexes,2015,15.71%,14.90%,16.60%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Both sexes,2019,17.02%,15.60%,18.50%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Both sexes,2020,17.38%,15.70%,19.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Both sexes,2021,17.74%,15.80%,19.90%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Both sexes,2022,18.14%,15.90%,20.70%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Female,1990,9.29%,7.50%,11.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Female,1995,10.06%,8.60%,11.60%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Female,2000,10.82%,9.60%,12.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Female,2005,12.13%,11.10%,13.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Female,2010,13.96%,13.00%,15.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Female,2015,15.63%,14.50%,16.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Female,2019,17.06%,15.10%,19.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Female,2020,17.45%,15.10%,20.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Female,2021,17.86%,15.10%,21.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Female,2022,18.30%,15.10%,22.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Male,1990,8.70%,7.10%,10.40%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Male,1995,9.74%,8.40%,11.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Male,2000,10.92%,9.70%,12.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Male,2005,12.48%,11.50%,13.50%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Male,2010,14.31%,13.30%,15.40%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Male,2015,15.80%,14.60%,17.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Male,2019,16.98%,15.00%,19.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Male,2020,17.30%,15.00%,19.90%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Male,2021,17.62%,14.80%,20.60%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),30+ years,Male,2022,17.96%,14.70%,21.50%
