Category,Metric,Year,Value
Diabetes estimates (20-79 y),"Age-standardised prevalence of diabetes, %",2050,11.5
Diabetes estimates (20-79 y),"Proportion of people with undiagnosed diabetes, %",2050,
Diabetes estimates (20-79 y),"People with undiagnosed diabetes, in 1,000s",2050,
Impaired Fasting Glucose (IFG),"People with IFG, in 1,000s",2050,43187.2
Impaired Fasting Glucose (IFG),"Age-standardised prevalence of IFG, %",2050,10
Impaired Glucose Tolerance (IGT),"People with IGT, in 1,000s",2050,51909.9
Impaired Glucose Tolerance (IGT),"Age-standardised prevalence of IGT, %",2050,11.9
Mortality attributable to diabetes (20-79 y),Deaths attributable to diabetes,2050,
Mortality attributable to diabetes (20-79 y),"Proportion of diabetes-related deaths in people 20-79 y, %",2050,
Hyperglycaemia in pregnancy (HIP) (20-49 y),Live births affected by HIP,2050,
Hyperglycaemia in pregnancy (HIP) (20-49 y),"Prevalence of gestational diabetes mellitus (GDM), %",2050,
Hyperglycaemia in pregnancy (HIP) (20-49 y),Live births affected by other types of diabetes first detected in pregnancy,2050,
Hyperglycaemia in pregnancy (HIP) (20-49 y),Live births affected by other types of diabetes detected prior to pregnancy,2050,
Diabetes-related health expenditure,"Total diabetes-related health expenditure, USD million",2050,94512.8
Diabetes-related health expenditure,"Total diabetes-related health expenditure, ID million",2050,175774.2
Diabetes-related health expenditure,"Diabetes-related health expenditure per person, USD",2050,1937.5
Diabetes-related health expenditure,"Diabetes-related health expenditure per person, ID",2050,3603.3
Type 1 diabetes estimates in children and adolescents,People with type 1 diabetes (all age groups),2050,
Type 1 diabetes estimates in children and adolescents,People with type 1 diabetes (0-19 y),2050,
Demographics,"Total adult population (20-79 y), in 1,000s",2050,419502.2
Demographics,Population of children and adolescents (0-19 y),2050,
